upazila_ID;Upz_geocode;distr_ID;Upazilla;bn_name;DS_X;DS_Y;Number;Constituency ;Isdelete;UserID;,
1;100409;1;Amtali;?????;528024;439624;0;109;0;1;,
2;100419;1;Bamna;?????;506249;454107;0;110;0;1;,
3;100428;1;Barguna Sadar;?????? ???;512305;439414;0;109;0;1;,
4;100447;1;Betagi;??????;515614;462662;0;110;0;1;,
5;100485;1;Patharghata;????????;496757;433044;0;110;0;1;,
6;100490;1;Taltali;??????;510680;420641;0;107;0;1;,
7;100602;2;Agailjhara;????????;514727;530825;0;119;0;1;,
8;100603;2;Babuganj;????????;532898;516249;0;121;0;1;,
9;100607;2;Bakerganj;?????????;539514;484461;0;124;0;1;,
10;100610;2;Banari Para;??????????;513355;513605;0;120;0;1;,
11;100632;2;Gaurnadi;??????;525207;531022;0;119;0;1;,
12;100636;2;Hizla;?????;558109;528559;0;122;0;1;,
13;100651;2;Barishal Sadar (Kotwa;?????? ???;539238;501883;0;123;0;1;,
14;100662;2;Mehendiganj;????????????;551691;510612;0;122;0;1;,
15;100669;2;Muladi;??????;539141;526000;0;121;0;1;,
16;100694;2;Wazirpur;???????;518252;518516;0;120;0;1;,
17;100918;3;Bhola Sadar;???? ???;565660;502298;0;115;0;1;,
18;100921;3;Burhanuddin;????????????;588540;474732;0;116;0;1;,
19;100925;3;Char Fasson;?? ??????;570816;434655;0;118;0;1;,
20;100929;3;Daulatkhan;???????;575853;492084;0;116;0;1;,
21;100954;3;Lalmohan;???????;579826;458061;0;117;0;1;,
22;100965;3;Manpura;??????;598607;456939;0;118;0;1;,
23;100991;3;Tazumuddin;???????????;572970;477503;0;117;0;1;,
24;104240;4;Jhalokati Sadar;??????? ???;519631;499055;0;126;0;1;,
25;104243;4;Kanthalia;?????????;510810;470517;0;125;0;1;,
26;104273;4;Nalchity;??????;528146;490787;0;126;0;1;,
27;104284;4;Rajapur;???????;513746;484806;0;125;0;1;,
28;107838;5;Bauphal;?????;553998;470753;0;112;0;1;,
29;107852;5;Dashmina;??????;559082;455357;0;113;0;1;,
30;107855;5;Dumki;?????;538503;473457;0;111;0;1;,
31;107857;5;Galachipa;???????;548080;441992;0;113;0;1;,
32;107866;5;Kalapara;???????;523041;415689;0;114;0;1;,
33;107876;5;Mirzaganj;?????????? ;522440;463283;0;111;0;1;,
34;107895;5;Patuakhali Sadar;????????? ???;531083;461047;0;111;0;1;,
35;107897;5;Rangabali;??????????;546145;416196;0;114;0;1;,
36;107914;6;Bhandaria;??????????;502227;474054;0;128;0;1;,
37;107947;6;Kawkhali;???????;506193;491073;0;128;0;1;,
38;107958;6;Mathbaria;????????;495145;455441;0;129;0;1;,
39;107976;6;Nazirpur;????????;497577;508926;0;127;0;1;,
40;107980;6;Pirojpur Sadar;???????? ???;498197;491096;0;127;0;1;,
41;107987;6;Nesarabad (Swarupkat);????????? (??????????);509087;503643;0;127;0;1;,
42;107990;6;Zianagar;???????;493177;475337;0;128;0;1;,
43;200304;7;Alikadam;??? ???;750692;376533;0;300;0;1;,
44;200314;7;Bandarban Sadar;????????? ???;729256;443725;0;300;0;1;,
45;200351;7;Lama;????;730548;403203;0;300;0;1;,
46;200373;7;Naikhongchhari;?????????????;731717;367667;0;300;0;1;,
47;200389;7;Rowangchhari;???????? ;742042;447822;0;300;0;1;,
48;200391;7;Ruma;????;751804;426662;0;300;0;1;,
49;200395;7;Thanchi;?????;762052;386370;0;300;0;1;,
50;201202;8;Akhaura;??????;621577;627092;0;246;0;1;,
51;201204;8;Banchharampur;????????????;582159;620631;0;248;0;1;,
52;201207;8;Bijoyagar;???????;;;;245;0;;,
53;201213;8;Brahmanbaria Sadar;?????????????? ???;619510;642108;0;245;0;1;,
54;201233;8;Ashuganj;???????;604371;646393;0;244;0;1;,
55;201263;8;Kasba;????;614548;618675;0;246;0;1;,
56;201285;8;Nabinagar;??????;599491;629640;0;247;0;1;,
57;201290;8;Nasirnagar;????????;620778;665336;0;243;0;1;,
58;201294;8;Sarail;?????;613601;656858;0;245;0;1;,
59;201322;9;Chandpur Sadar;??????? ???;566541;559549;0;262;0;1;,
60;201345;9;Faridganj;????????;577586;550443;0;263;0;1;,
61;201347;9;Haim Char;??????;563059;543089;0;262;0;1;,
62;201349;9;Hajiganj;????????;584250;564033;0;264;0;1;,
63;201358;9;Kachua;?????;590107;574120;0;260;0;1;,
